Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
registrationSuite,Firefox 60.0,,2018-06-06 16:36:20,2018-06-06 16:36:59,38.711s,PASSED
,,,,,,
Test Cases/registration,Firefox 60.0,,2018-06-06 16:36:21,2018-06-06 16:36:41,20.592s,PASSED
com.login.qrida.loginQrida.openBrowser,Firefox 60.0,,2018-06-06 16:36:21,2018-06-06 16:36:39,18.264s,PASSED
com.registration.qrida.registrationLink.registration,Firefox 60.0,,2018-06-06 16:36:39,2018-06-06 16:36:41,1.872s,PASSED
,,,,,,
Test Cases/registration,Firefox 60.0,,2018-06-06 16:36:41,2018-06-06 16:36:59,17.301s,PASSED
com.login.qrida.loginQrida.openBrowser,Firefox 60.0,,2018-06-06 16:36:41,2018-06-06 16:36:57,15.789s,PASSED
com.registration.qrida.registrationLink.registration,Firefox 60.0,,2018-06-06 16:36:57,2018-06-06 16:36:59,1.479s,PASSED
